"order","family","genus","species","binomial","habitat.mode","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","iucn","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth","family.origin","Max_longevity_d","Rspan_d","AFR_d","Calculated_GL_d","GenerationLength_d","accepted_name","lw.range","hi.range","foss.age","age.median","current.range","present.natural.range","current.range.km2","present.natural.range.km2","home.range.km2","gr.area.km2","indiv.home.range.km2","dispersal.age.d","log.mass","log.size.bin","qtr.bin"
"Afrosoricida","Tenrecidae","Potamogale","velox","Potamogale velox","terr",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,659.994,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information","no information","no information",1058.98334,NA,NA,NA,NA,20.96945,461,461,4293001.87234244,4293001.87234244,NA,4646234.16,NA,NA,2.81953998739227,2,"(2.75,3]"
"Artiodactyla","Antilocapridae","Antilocapra","americana","Antilocapra americana","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,46082.921,"1","LC",FALSE,TRUE,FALSE,FALSE,FALSE,2,"North.America","4805.8333333","4440.8333333","365","1652.8416667",1652.841667,"Antilocapra americana",0.3,2.588,1.444,12.33539921,368,681,3426951.60308464,6341722.93940391,8.05,2009745.94,9.53,NA,4.66353999936429,4,"(4.5,4.75]"
"Artiodactyla","Antilocapridae","Capromeryx","mexicana","Capromeryx mexicana","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,15000,"1","EX",FALSE,TRUE,FALSE,FALSE,FALSE,2,"North.America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17609125905568,4,"(4,4.25]"
"Artiodactyla","Antilocapridae","Capromeryx","minor","Capromeryx minor","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10000,"1","EX",FALSE,TRUE,FALSE,FALSE,FALSE,2,"North.America",NA,NA,NA,NA,NA,"Capromeryx minor",0.012,1.8,0.906,5.9940748345,0,732,0,6816653.7322227,NA,NA,NA,NA,4,4,"(3.75,4]"
"Artiodactyla","Antilocapridae","Stockoceros","conklingi","Stockoceros conklingi","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,53000,"1","",FALSE,TRUE,FALSE,FALSE,FALSE,2,"North.America",NA,NA,NA,NA,NA,"Stockoceros conklingi",0.3,1.8,1.05,2.384284781,0,527,0,4907618.19246088,NA,NA,NA,NA,4.72427586960079,4,"(4.5,4.75]"
"Artiodactyla","Antilocapridae","Tetrameryx","shuleri","Tetrameryx shuleri","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,60000,"1","",FALSE,TRUE,FALSE,FALSE,FALSE,2,"North.America",NA,NA,NA,NA,NA,"Tetrameryx shuleri",0.3,1.8,1.05,2.384284781,0,426,0,3967068.97530993,NA,NA,NA,NA,4.77815125038364,4,"(4.75,5]"
"Artiodactyla","Bovidae","Addax","nasomaculatus","Addax nasomaculatus","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,70000.316,"1","CR",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Eurasia","9653.0333333","8586.1733333","1066.86","3556.8502667",2555,NA,NA,NA,NA,3.6038201655,24,153,223496.843679433,1424792.37845638,NA,1168708.88,NA,NA,4.84510000053921,4,"(4.75,5]"
"Artiodactyla","Bovidae","Aepyceros","melampus","Aepyceros melampus","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,52500.084,"1","",TRUE,FALSE,FALSE,FALSE,FALSE,2,"Eurasia","7433.8333333","6703.8333333","730","2674.1116667",2674.111667,"Aepyceros melampus",2.588,5.333,3.9605,10.502400485,461,461,4293001.87234244,4293001.87234244,1.97,3926868.66,2.36,NA,4.72015999827657,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Alcelaphus","buselaphus","Alcelaphus buselaphus","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,171001.532,"1","",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Eurasia","7604.1666667","6676.4666667","927.7","2863.8753333",2863.875333,"Alcelaphus buselaphus",0.781,2.588,1.6845,2.4795246755,952,1116,8865374.79928417,10392603.2310936,2.73,4706770.4,1.59,NA,5.23300000124692,5,"(5,5.25]"
"Artiodactyla","Bovidae","Alcelaphus","caama","Alcelaphus caama","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"1","",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873624.18,NA,NA,NA,NA,NA
"Artiodactyla","Bovidae","Alcelaphus","lichtensteinii","Alcelaphus lichtensteinii","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,171498.371,"1","",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41,2264335.8,NA,NA,5.2342599991947,5,"(5,5.25]"
"Artiodactyla","Bovidae","Ammodorcas","clarkei","Ammodorcas clarkei","terr",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28049.815,"1","VU",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Eurasia","3741.25","3197.25","544","1471.2025",2555,NA,NA,NA,NA,3.245994556,26,41,242121.580652719,381807.107952364,NA,287056.65,NA,NA,4.44793000125193,4,"(4.25,4.5]"
"Artiodactyla","Bovidae","Ammotragus","lervia","Ammotragus lervia","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,48000,"1","VU",TRUE,FALSE,FALSE,FALSE,FALSE,2,"Eurasia","7750.1666667","7342.5866667","407.58","2536.9301333",1825,NA,NA,NA,NA,1.151794849,309,873,2877521.8623727,8129697.68883937,7.06,1447450.84,6.62,NA,4.68124123737559,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Antidorcas","australis","Antidorcas australis","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40000,"1","",TRUE,FALSE,FALSE,FALSE,FALSE,2,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2902451485,0,128,0,1191983.16629031,NA,NA,NA,NA,4.60205999132796,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Antidorcas","bondi","Antidorcas bondi","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,34000,"1","",TRUE,FALSE,FALSE,FALSE,FALSE,2,"Eurasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.368479918,0,748,0,6965651.62800899,NA,NA,NA,NA,4.53147891704226,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Antidorcas","marsupialis","Antidorcas marsupialis","terr",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,31500,"1","LC",TRUE,FALSE,FALSE,FALSE,FALSE,2,"Eurasia","7275.6666667","7112.6816667","500.475","2563.1526833",2563.152683,"Antidorcas marsupialis",0.781,5.333,3.057,1.396359904,263,263,2449152.91198712,2449152.91198712,NA,1066805.09,NA,NA,4.4983105537896,4,"(4.25,4.5]"
"Artiodactyla","Bovidae","Antilope","cervicapra","Antilope cervicapra","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,37500,"1","LC",FALSE,FALSE,FALSE,TRUE,FALSE,1,"Eurasia","7835.3333333","7166.1733333","669.16","2747.3502667",2747.350267,NA,NA,NA,NA,4.248590907,251,354,2337404.4901474,3296578.44427163,0.62,1248646.6,NA,NA,4.57403126772772,4,"(4.5,4.75]"
"Artiodactyla","Bovidae","Beatragus","hunteri","Beatragus hunteri","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,80000.002,"1","CR",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Eurasia","5537.05","4624.05","913","2253.9745",2253.9745,"Beatragus hunteri",0.0117,2.588,1.29985,2.933994865,4,10,37249.4739465721,93123.6848664304,NA,30188.68,NA,NA,4.90308999784931,4,"(4.75,5]"
"Artiodactyla","Bovidae","Bison","bison","Bison bison","terr",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,579255.278,"1","NT",FALSE,TRUE,FALSE,FALSE,FALSE,1,"Eurasia","12105.833333","11010.833333","1095","4288.1416666",4288.141667,"Bison bison",0.0117,2.588,1.29985,3.025755486,82,1114,763614.215904729,10373978.4941203,47.39,10388.04,65.71,NA,5.76286999964084,5,"(5.75,6]"
