Binomial.1.2,Order.1.2,Family.1.2,current.range,present.natural.range,current.range.km2,present.natural.range.km2
Meriones_unguiculatus,Rodentia,Muridae,494,494,4600310.0324016595,4600310.0324016595
Meriones_vinogradovi,Rodentia,Muridae,54,54,502867.89827872394,502867.89827872394
Meriones_zarudnyi,Rodentia,Muridae,24,24,223496.84367943287,223496.84367943287
Mesechinus_dauuricus,Eulipotyphla,Erinaceidae,598,598,5568796.355012535,5568796.355012535
Mesechinus_hughi,Eulipotyphla,Erinaceidae,50,50,465618.4243321518,465618.4243321518
Mesembriomys_gouldii,Rodentia,Muridae,65,125,605303.9516317974,1164046.0608303794
Mesembriomys_macrurus,Rodentia,Muridae,13,80,121060.79032635946,744989.4789314428
Mesocapromys_angelcabrerai,Rodentia,Echimyidae,1,25,9312.368486643036,232809.2121660759
Mesocapromys_auritus,Rodentia,Echimyidae,2,2,18624.73697328607,18624.73697328607
Mesocapromys_nanus,Rodentia,Echimyidae,2,19,18624.73697328607,176935.00124621767
Mesocapromys_sanfelipensis,Rodentia,Echimyidae,0,1,0,9312.368486643036
Mesocricetus_auratus,Rodentia,Cricetidae,3,3,27937.10545992911,27937.10545992911
Mesocricetus_brandti,Rodentia,Cricetidae,119,119,1108171.8499105212,1108171.8499105212
Mesocricetus_newtoni,Rodentia,Cricetidae,13,13,121060.79032635946,121060.79032635946
Mesocricetus_raddei,Rodentia,Cricetidae,33,33,307308.16005922016,307308.16005922016
Mesocricetus_rathgeberi,Rodentia,Cricetidae,0,1,0,9312.368486643036
Mesomys_hispidus,Rodentia,Echimyidae,596,596,5550171.618039249,5550171.618039249
Mesomys_leniceps,Rodentia,Echimyidae,2,2,18624.73697328607,18624.73697328607
Mesomys_occultus,Rodentia,Echimyidae,11,11,102436.0533530734,102436.0533530734
Mesomys_stimulax,Rodentia,Echimyidae,66,66,614616.3201184403,614616.3201184403
Mesopropithecus_globiceps,Primates,Palaeopropithecidae,0,17,0,158310.2642729316
Mesopropithecus_pithecoides,Primates,Palaeopropithecidae,0,27,0,251433.94913936197
Metachirus_nudicaudatus,Didelphimorphia,Didelphidae,1285,1285,11966393.505336301,11966393.505336301
Metasthenurus_newtonae,Diprotodontia,Macropodidae,0,127,0,1182670.7978036655
Metridiochoerus_compactus,Cetartiodactyla,Suidae,0,618,0,5755043.7247453965
Mico_acariensis,Primates,Callitrichidae,11,11,102436.0533530734,102436.0533530734
Mico_argentatus,Primates,Callitrichidae,27,27,251433.94913936197,251433.94913936197
Mico_chrysoleucos,Primates,Callitrichidae,14,14,130373.1588130025,130373.1588130025
Mico_emiliae,Primates,Callitrichidae,29,29,270058.68611264805,270058.68611264805
Mico_humeralifer,Primates,Callitrichidae,16,16,148997.89578628857,148997.89578628857
Mico_humilis,Primates,Callitrichidae,4,4,37249.47394657214,37249.47394657214
Mico_intermedius,Primates,Callitrichidae,15,15,139685.52729964553,139685.52729964553
Mico_leucippe,Primates,Callitrichidae,6,6,55874.21091985822,55874.21091985822
Mico_marcai,Primates,Callitrichidae,4,4,37249.47394657214,37249.47394657214
Mico_mauesi,Primates,Callitrichidae,10,10,93123.68486643035,93123.68486643035
Mico_melanurus,Primates,Callitrichidae,126,126,1173358.4293170224,1173358.4293170224
Mico_nigriceps,Primates,Callitrichidae,10,10,93123.68486643035,93123.68486643035
Mico_rondoni,Primates,Callitrichidae,18,18,167622.63275957466,167622.63275957466
Mico_saterei,Primates,Callitrichidae,8,8,74498.94789314429,74498.94789314429
Microakodontomys_transitorius,Rodentia,Cricetidae,3,3,27937.10545992911,27937.10545992911
Microcavia_australis,Rodentia,Caviidae,235,235,2188406.5943611134,2188406.5943611134
Microcavia_niata,Rodentia,Caviidae,24,24,223496.84367943287,223496.84367943287
Microcavia_shiptoni,Rodentia,Caviidae,8,8,74498.94789314429,74498.94789314429
Microcebus_arnholdi,Primates,Cheirogaleidae,1,1,9312.368486643036,9312.368486643036
Microcebus_berthae,Primates,Cheirogaleidae,2,2,18624.73697328607,18624.73697328607
Microcebus_bongolavensis,Primates,Cheirogaleidae,2,17,18624.73697328607,158310.2642729316
Microcebus_danfossi,Primates,Cheirogaleidae,2,2,18624.73697328607,18624.73697328607
Microcebus_gerpi,Primates,Cheirogaleidae,1,1,9312.368486643036,9312.368486643036
Microcebus_griseorufus,Primates,Cheirogaleidae,13,20,121060.79032635946,186247.3697328607
Microcebus_jollyae,Primates,Cheirogaleidae,1,6,9312.368486643036,55874.21091985822
Microcebus_lehilahytsara,Primates,Cheirogaleidae,5,5,46561.84243321518,46561.84243321518
Microcebus_macarthurii,Primates,Cheirogaleidae,2,2,18624.73697328607,18624.73697328607
Microcebus_mamiratra,Primates,Cheirogaleidae,1,1,9312.368486643036,9312.368486643036
Microcebus_margotmarshae,Primates,Cheirogaleidae,2,2,18624.73697328607,18624.73697328607
Microcebus_marohita,Primates,Cheirogaleidae,1,1,9312.368486643036,9312.368486643036
Microcebus_mittermeieri,Primates,Cheirogaleidae,1,1,9312.368486643036,9312.368486643036
Microcebus_murinus,Primates,Cheirogaleidae,35,50,325932.89703250624,465618.4243321518
Microcebus_myoxinus,Primates,Cheirogaleidae,11,11,102436.0533530734,102436.0533530734
Microcebus_ravelobensis,Primates,Cheirogaleidae,4,10,37249.47394657214,93123.68486643035
Microcebus_rufus,Primates,Cheirogaleidae,3,56,27937.10545992911,521492.63525201
Microcebus_sambiranensis,Primates,Cheirogaleidae,1,1,9312.368486643036,9312.368486643036
Microcebus_simmonsi,Primates,Cheirogaleidae,4,4,37249.47394657214,37249.47394657214
Microcebus_tavaratra,Primates,Cheirogaleidae,3,4,27937.10545992911,37249.47394657214
Microdillus_peeli,Rodentia,Muridae,9,9,83811.31637978733,83811.31637978733
Microdipodops_megacephalus,Rodentia,Heteromyidae,51,51,474930.79281879484,474930.79281879484
Microdipodops_pallidus,Rodentia,Heteromyidae,14,14,130373.1588130025,130373.1588130025
Microgale_brevicaudata,Afrosoricida,Tenrecidae,40,90,372494.7394657214,838113.1637978732
Microgale_cowani,Afrosoricida,Tenrecidae,32,62,297995.79157257715,577366.8461718683
Microgale_dobsoni,Afrosoricida,Tenrecidae,43,65,400431.8449256505,605303.9516317974
Microgale_drouhardi,Afrosoricida,Tenrecidae,33,61,307308.16005922016,568054.4776852252
Microgale_dryas,Afrosoricida,Tenrecidae,6,16,55874.21091985822,148997.89578628857
Microgale_fotsifotsy,Afrosoricida,Tenrecidae,34,62,316620.5285458632,577366.8461718683
Microgale_gracilis,Afrosoricida,Tenrecidae,28,48,260746.317626005,446993.68735886575
Microgale_grandidieri,Afrosoricida,Tenrecidae,17,17,158310.2642729316,158310.2642729316
Microgale_gymnorhyncha,Afrosoricida,Tenrecidae,28,48,260746.317626005,446993.68735886575
Microgale_jenkinsae,Afrosoricida,Tenrecidae,2,2,18624.73697328607,18624.73697328607
Microgale_jobihely,Afrosoricida,Tenrecidae,4,4,37249.47394657214,37249.47394657214
Microgale_longicaudata,Afrosoricida,Tenrecidae,2,2,18624.73697328607,18624.73697328607
Microgale_macpheei,Afrosoricida,Tenrecidae,0,33,0,307308.16005922016
Microgale_majori,Afrosoricida,Tenrecidae,36,67,335245.2655191493,623928.6886050834
Microgale_monticola,Afrosoricida,Tenrecidae,2,4,18624.73697328607,37249.47394657214
Microgale_nasoloi,Afrosoricida,Tenrecidae,4,10,37249.47394657214,93123.68486643035
Microgale_parvula,Afrosoricida,Tenrecidae,31,62,288683.42308593413,577366.8461718683
Microgale_principula,Afrosoricida,Tenrecidae,29,61,270058.68611264805,568054.4776852252
Microgale_pusilla,Afrosoricida,Tenrecidae,21,45,195559.73821950375,419056.5818989366
Microgale_soricoides,Afrosoricida,Tenrecidae,33,66,307308.16005922016,614616.3201184403
Microgale_taiva,Afrosoricida,Tenrecidae,23,49,214184.47519278983,456306.05584550876
Microgale_talazaci,Afrosoricida,Tenrecidae,31,60,288683.42308593413,558742.1091985821
Microgale_thomasi,Afrosoricida,Tenrecidae,18,32,167622.63275957466,297995.79157257715
Microhydromys_argenteus,Rodentia,Muridae,17,17,158310.2642729316,158310.2642729316
Microhydromys_richardsoni,Rodentia,Muridae,33,33,307308.16005922016,307308.16005922016
Micromys_minutus,Rodentia,Muridae,2373,2373,22098250.418803923,22098250.418803923
Microperoryctes_aplini,Peramelemorphia,Peramelidae,2,2,18624.73697328607,18624.73697328607
Microperoryctes_longicauda,Peramelemorphia,Peramelidae,53,53,493555.5297920809,493555.5297920809
Microperoryctes_murina,Peramelemorphia,Peramelidae,1,1,9312.368486643036,9312.368486643036
Microperoryctes_papuensis,Peramelemorphia,Peramelidae,10,10,93123.68486643035,93123.68486643035
Micropotamogale_lamottei,Afrosoricida,Tenrecidae,7,7,65186.57940650125,65186.57940650125
Micropotamogale_ruwenzorii,Afrosoricida,Tenrecidae,14,14,130373.1588130025,130373.1588130025
Microryzomys_altissimus,Rodentia,Cricetidae,53,53,493555.5297920809,493555.5297920809
Microryzomys_minutus,Rodentia,Cricetidae,152,152,1415480.0099697413,1415480.0099697413
Microsciurus_alfari,Rodentia,Sciuridae,35,35,325932.89703250624,325932.89703250624
Microsciurus_flaviventer,Rodentia,Sciuridae,259,259,2411903.438040546,2411903.438040546
Microsciurus_mimulus,Rodentia,Sciuridae,42,42,391119.4764390075,391119.4764390075
Microsciurus_santanderensis,Rodentia,Sciuridae,36,36,335245.2655191493,335245.2655191493
Microtus_abbreviatus,Rodentia,Cricetidae,4,4,37249.47394657214,37249.47394657214
Microtus_agrestis,Rodentia,Cricetidae,1467,1467,13661244.569905333,13661244.569905333
Microtus_anatolicus,Rodentia,Cricetidae,10,10,93123.68486643035,93123.68486643035
Microtus_arvalis,Rodentia,Cricetidae,971,971,9042309.800530387,9042309.800530387
Microtus_bavaricus,Rodentia,Cricetidae,1,8,9312.368486643036,74498.94789314429
Microtus_brachycercus,Rodentia,Cricetidae,22,22,204872.1067061468,204872.1067061468
Microtus_breweri,Rodentia,Cricetidae,1,1,9312.368486643036,9312.368486643036
Microtus_cabrerae,Rodentia,Cricetidae,34,37,316620.5285458632,344557.6340057923
Microtus_californicus,Rodentia,Cricetidae,61,61,568054.4776852252,568054.4776852252
Microtus_canicaudus,Rodentia,Cricetidae,5,5,46561.84243321518,46561.84243321518
Microtus_chrotorrhinus,Rodentia,Cricetidae,225,225,2095282.9094946831,2095282.9094946831
Microtus_clarkei,Rodentia,Cricetidae,45,45,419056.5818989366,419056.5818989366
Microtus_daghestanicus,Rodentia,Cricetidae,44,44,409744.2134122936,409744.2134122936
Microtus_dogramacii,Rodentia,Cricetidae,8,8,74498.94789314429,74498.94789314429
Microtus_duodecimcostatus,Rodentia,Cricetidae,97,97,903299.7432043744,903299.7432043744
Microtus_evoronensis,Rodentia,Cricetidae,2,2,18624.73697328607,18624.73697328607
Microtus_felteni,Rodentia,Cricetidae,14,14,130373.1588130025,130373.1588130025
Microtus_fortis,Rodentia,Cricetidae,372,372,3464201.077031209,3464201.077031209
Microtus_gerbei,Rodentia,Cricetidae,41,41,381807.1079523645,381807.1079523645
Microtus_gregalis,Rodentia,Cricetidae,888,888,8269383.216139016,8269383.216139016
Microtus_guatemalensis,Rodentia,Cricetidae,14,14,130373.1588130025,130373.1588130025
Microtus_guentheri,Rodentia,Cricetidae,119,119,1108171.8499105212,1108171.8499105212
Microtus_henseli,Rodentia,Cricetidae,0,10,0,93123.68486643035
Microtus_hyperboreus,Rodentia,Cricetidae,321,321,2989270.2842124146,2989270.2842124146
Microtus_ilaeus,Rodentia,Cricetidae,85,85,791551.3213646581,791551.3213646581
Microtus_irani,Rodentia,Cricetidae,2,2,18624.73697328607,18624.73697328607
Microtus_kermanensis,Rodentia,Cricetidae,6,6,55874.21091985822,55874.21091985822
Microtus_kikuchii,Rodentia,Cricetidae,5,5,46561.84243321518,46561.84243321518
Microtus_levis,Rodentia,Cricetidae,581,581,5410486.090739604,5410486.090739604
Microtus_liechtensteini,Rodentia,Cricetidae,30,30,279371.05459929106,279371.05459929106
Microtus_limnophilus,Rodentia,Cricetidae,180,180,1676226.3275957464,1676226.3275957464
Microtus_longicaudus,Rodentia,Cricetidae,534,534,4972804.771867381,4972804.771867381
Microtus_lusitanicus,Rodentia,Cricetidae,50,50,465618.4243321518,465618.4243321518
Microtus_majori,Rodentia,Cricetidae,38,38,353870.00249243533,353870.00249243533
Microtus_maximowiczii,Rodentia,Cricetidae,266,266,2477090.0174470474,2477090.0174470474
Microtus_mexicanus,Rodentia,Cricetidae,161,161,1499291.3263495287,1499291.3263495287
Microtus_middendorffii,Rodentia,Cricetidae,342,342,3184830.0224319184,3184830.0224319184
Microtus_miurus,Rodentia,Cricetidae,250,250,2328092.1216607587,2328092.1216607587
Microtus_mongolicus,Rodentia,Cricetidae,208,208,1936972.6452217514,1936972.6452217514
Microtus_montanus,Rodentia,Cricetidae,222,222,2067345.804034754,2067345.804034754
Microtus_montebelli,Rodentia,Cricetidae,56,56,521492.63525201,521492.63525201
Microtus_mujanensis,Rodentia,Cricetidae,5,5,46561.84243321518,46561.84243321518
Microtus_multiplex,Rodentia,Cricetidae,30,30,279371.05459929106,279371.05459929106
Microtus_nasarovi,Rodentia,Cricetidae,6,6,55874.21091985822,55874.21091985822
Microtus_oaxacensis,Rodentia,Cricetidae,1,1,9312.368486643036,9312.368486643036
Microtus_ochrogaster,Rodentia,Cricetidae,419,429,3901882.395903432,3995006.0807698625
Microtus_oeconomus,Rodentia,Cricetidae,2576,2576,23988661.22159246,23988661.22159246
Microtus_oregoni,Rodentia,Cricetidae,42,42,391119.4764390075,391119.4764390075
Microtus_paradoxus,Rodentia,Cricetidae,20,20,186247.3697328607,186247.3697328607
Microtus_pennsylvanicus,Rodentia,Cricetidae,1527,1527,14219986.679103917,14219986.679103917
Microtus_pinetorum,Rodentia,Cricetidae,362,362,3371077.392164779,3371077.392164779
Microtus_qazvinensis,Rodentia,Cricetidae,16,16,148997.89578628857,148997.89578628857
Microtus_quasiater,Rodentia,Cricetidae,13,13,121060.79032635946,121060.79032635946
Microtus_richardsoni,Rodentia,Cricetidae,141,141,1313043.956616668,1313043.956616668
Microtus_sachalinensis,Rodentia,Cricetidae,16,16,148997.89578628857,148997.89578628857
Microtus_savii,Rodentia,Cricetidae,54,54,502867.89827872394,502867.89827872394
Microtus_schelkovnikovi,Rodentia,Cricetidae,12,12,111748.42183971644,111748.42183971644
Microtus_schidlovskii,Rodentia,Cricetidae,4,4,37249.47394657214,37249.47394657214
Microtus_socialis,Rodentia,Cricetidae,407,407,3790133.9740637154,3790133.9740637154
Microtus_subterraneus,Rodentia,Cricetidae,456,456,4246440.029909224,4246440.029909224
Microtus_tatricus,Rodentia,Cricetidae,16,16,148997.89578628857,148997.89578628857
Microtus_thomasi,Rodentia,Cricetidae,30,30,279371.05459929106,279371.05459929106
Microtus_townsendii,Rodentia,Cricetidae,48,48,446993.68735886575,446993.68735886575
Microtus_transcaspicus,Rodentia,Cricetidae,6,6,55874.21091985822,55874.21091985822
Microtus_umbrosus,Rodentia,Cricetidae,4,4,37249.47394657214,37249.47394657214
Microtus_xanthognathus,Rodentia,Cricetidae,324,324,3017207.3896723436,3017207.3896723436
Millardia_gleadowi,Rodentia,Muridae,39,39,363182.3709790784,363182.3709790784
Millardia_kathleenae,Rodentia,Muridae,9,9,83811.31637978733,83811.31637978733
Millardia_kondana,Rodentia,Muridae,1,1,9312.368486643036,9312.368486643036
Millardia_meltada,Rodentia,Muridae,308,308,2868209.493886055,2868209.493886055
Mindomys_hammondi,Rodentia,Cricetidae,2,2,18624.73697328607,18624.73697328607
Miopithecus_ogouensis,Primates,Cercopithecidae,78,78,726364.7419581568,726364.7419581568
Miopithecus_talapoin,Primates,Cercopithecidae,64,64,595991.5831451543,595991.5831451543
Miracinonyx_trumani,Carnivora,Felidae,0,302,0,2812335.282966197
Mirounga_angustirostris,Carnivora,Phocidae,1256,1256,11696334.819223654,11696334.819223654
Mirza_coquereli,Primates,Cheirogaleidae,23,54,214184.47519278983,502867.89827872394
Mirza_zaza,Primates,Cheirogaleidae,8,14,74498.94789314429,130373.1588130025
Mixotoxodon_larensis,Notoungulata,Toxodontidae,0,342,0,3184830.0224319184
Mogera_etigo,Eulipotyphla,Talpidae,2,2,18624.73697328607,18624.73697328607
Mogera_imaizumii,Eulipotyphla,Talpidae,46,46,428368.95038557966,428368.95038557966
Mogera_insularis,Eulipotyphla,Talpidae,133,133,1238545.0087235237,1238545.0087235237
Mogera_robusta,Eulipotyphla,Talpidae,134,134,1247857.3772101668,1247857.3772101668
Mogera_tokudae,Eulipotyphla,Talpidae,1,1,9312.368486643036,9312.368486643036
Mogera_uchidai,Eulipotyphla,Talpidae,1,1,9312.368486643036,9312.368486643036
Mogera_wogura,Eulipotyphla,Talpidae,45,45,419056.5818989366,419056.5818989366
Monachus_monachus,Carnivora,Phocidae,85,833,791551.3213646581,7757202.9493736485
Monodelphis_adusta,Didelphimorphia,Didelphidae,175,175,1629664.4851625313,1629664.4851625313
Monodelphis_americana,Didelphimorphia,Didelphidae,241,241,2244280.805280972,2244280.805280972
Monodelphis_brevicaudata,Didelphimorphia,Didelphidae,234,234,2179094.2258744705,2179094.2258744705
Monodelphis_dimidiata,Didelphimorphia,Didelphidae,276,276,2570213.702313478,2570213.702313478
