"genus","cont","phyl.age","fossil.age"
"Hylochoerus",1,2.6548246235,5.332
"Hylomys",1,38.910024688,15.97
"Hylomyscus",1,4.72860272773749,NA
"Hylonycteris",1,10.089560759,NA
"Hylopetes",1,5.5793633857,16.9
"Hyperacrius",1,12.8263480642,NA
"Hypsignathus",1,4.0272344455,NA
"Hypsiprymnodon",1,26.32529302,15.97
"Hypsugo",2,NA,NA
"Hystrix",2,23.4459264255,11.608
"Ia",1,8.5440027225,15.97
"Ichneumia",2,5.2820152155,7.246
"Ichthyomys",1,9.63223552109998,NA
"Ictonyx",2,11.6642245713,2.588
"Idionycteris",1,19.91829505,NA
"Idiurus",1,39.40844158295,NA
"Iomys",1,11.0632876302,NA
"Irenomys",1,7.0853131565,NA
"Isoodon",1,13.90846000305,2.588
"Isothrix",1,9.75275338859998,0.012
"Isthmomys",2,12.368229190305,NA
"Jaculus",2,4.16278798044995,2.588
"Juliomys",1,4.82218117914993,NA
"Juscelinomys",1,5.48474600140496,NA
"Kannabateomys",1,4.1282350845,NA
"Kerivoula",1,18.81121962795,NA
"Kerodon",1,12.48233685135,0.126
"Kobus",1,2.27632311553498,23.03
"Kunsia",1,5.99635882815001,2.588
"Laephotis",1,2.42392997864996,NA
"Lagidium",1,13.72272156485,0.01962
"Lagorchestes",1,5.45161280309994,2.588
"Lagostomus",1,23.545882918,11.608
"Lagostrophus",1,5.71650003,NA
"Lagothrix",1,9.47625310629999,0.012
"Lagurus",1,5.2451792775,5.332
"Lama",1,4.1597539915,2.588
"Lamottemys",1,4.748364999,NA
"Lampronycteris",2,28.963197705,NA
"Lariscus",1,7.37044659556999,NA
"Lasionycteris",1,13.741052525,3.4
"Lasiopodomys",1,2.78050076472002,2.588
"Lasiorhinus",1,5.33158042819999,23.03
"Lasiurus",2,18.71149323015,11.8
"Latidens",1,2.5717193945,NA
"Lavia",1,16.75774845,NA
"Leggadina",1,6.44958867289994,NA
"Leimacomys",1,16.38759774,NA
"Lemmiscus",1,3.9281746475,2.8
"Lemmus",2,6.08872685750994,5.332
"Lemniscomys",1,4.07287944242995,5.332
"Lenothrix",1,2.9672751815,NA
"Lenoxus",1,3.7832740485,NA
"Leontopithecus",1,12.0365734009,0.012
"Leopardus",2,6.27628398638992,3
"Leopoldamys",1,11.183620273415,2.588
"Leporillus",1,4.45290995802493,2.588
"Leptailurus",1,5.124543915,NA
"Leptonychotes",1,3.1504349555,0.012
"Leptonycteris",2,7.65958014053998,0.126
"Lepus",2,6.31089968277998,30.8
"Lestodelphys",1,12.60840079,0.781
"Lestodon",1,0.5062750288,11.608
"Lestoros",1,8.8823877335,NA
"Liberiictis",1,10.5774956255,NA
"Lichonycteris",2,0.7422285197,NA
"Liomys",2,26.39919500435,0.126
"Lionycteris",2,4.64646456,NA
"Lissonycteris",1,3.375785081,NA
"Litocranius",1,3.600744656,2.588
"Lobodon",1,4.1397751485,2.588
"Lonchophylla",2,18.2764453777,0.02006
"Lonchorhina",2,18.968798852995,NA
"Lonchothrix",1,6.735275123,NA
"Lontra",2,12.121768002,7.3
"Lophiomys",1,22.734654175,NA
"Lophocebus",1,7.74574774305,NA
"Lophostoma",2,10.22088115365,0.126
"Lophuromys",1,13.1397517052,0.012
"Loris",1,22.44753063295,NA
"Loxodonta",1,12.918249915,23.03
"Loxodontomys",1,2.48872701285493,NA
"Lundomys",1,3.8398596245,0.781
"Lutra",2,6.57759920953496,8.7
"Lutreolina",1,9.839396807,11.608
"Lutrogale",1,2.229065056,2.588
"Lycalopex",1,NA,NA
"Lycaon",1,2.255769407,5.332
"Lyncodon",1,5.335618649,0.781
"Lynx",1,5.52042888530498,9.7
"Macaca",1,14.85722535339,11.608
"Macrauchenia",1,27.507700735,9
"Macroderma",1,20.60729243,23.03
"Macroglossus",2,6.28209755695002,NA
"Macrophyllum",2,7.179670209,NA
"Macropus",1,5.56716278794994,5.332
"Macroscelides",1,16.7865007735,5.332
"Macrotis",1,18.98534864405,2.588
"Macrotus",1,30.79639042335,0.126
"Madoqua",1,3.95214890337996,11.608
"Madromys",1,5.1338604045,NA
"Makalata",1,4.18724465710001,NA
"Malacomys",1,10.63673091964,NA
"Malacothrix",1,5.433530414,5.332
"Mammut",1,25.99999642,23.03
"Mammuthus",2,13.26653452415,23.03
"Mandrillus",1,6.50558047546503,NA
"Manis",1,25.26002657391,7.246
"Marmosa",2,16.92942572175,13.8
"Marmosops",1,17.79539776385,0.012
"Marmota",1,10.5948915744,9.6
"Martes",1,16.068868859465,23.03
"Mastacomys",1,3.7660294815,2.588
"Mastomys",1,9.66842921834001,5.332
