"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth"
"130","Chiroptera","Vespertilionidae","Glauconycteris","humeralis","Glauconycteris humeralis",1,0,0,0,0,0,5.49,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"131","Soricomorpha","Soricidae","Crocidura","whitakeri","Crocidura whitakeri",1,0,0,0,0,0,5.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"132","Soricomorpha","Soricidae","Chodsigoa","salenskii","Chodsigoa salenskii",1,0,0,0,0,0,5.5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"133","Chiroptera","Hipposideridae","Hipposideros","jonesi","Hipposideros jonesi",1,0,0,0,0,0,5.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"134","Chiroptera","Vespertilionidae","Myotis","oxyotus","Myotis oxyotus",2,0,0,0,0,0,5.5,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"135","Chiroptera","Vespertilionidae","Myotis","levis","Myotis levis",1,0,0,0,0,0,5.5,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"136","Soricomorpha","Soricidae","Sylvisorex","camerunensis","Sylvisorex camerunensis",1,0,0,0,0,0,5.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"137","Chiroptera","Vespertilionidae","Hypsugo","pulveratus","Hypsugo pulveratus",1,0,0,0,0,0,5.545,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"138","Chiroptera","Vespertilionidae","Myotis","riparius","Myotis riparius",2,0,0,0,0,0,5.55,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"139","Chiroptera","Phyllostomidae","Lichonycteris","obscura","Lichonycteris obscura",0,0,0,0,0,2,5.6,2,FALSE,TRUE,TRUE,FALSE,FALSE,2
"140","Chiroptera","Hipposideridae","Paracoelops","megalotis","Paracoelops megalotis",1,0,0,0,0,0,5.67,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"141","Chiroptera","Vespertilionidae","Pipistrellus","pipistrellus","Pipistrellus pipistrellus",1,0,0,0,0,0,5.689,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"142","Dasyuromorphia","Dasyuridae","Ningaui","timealeyi","Ningaui timealeyi",1,0,0,0,0,0,5.7,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"143","Chiroptera","Rhinolophidae","Rhinolophus","lepidus","Rhinolophus lepidus",1,0,0,0,0,0,5.7,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"144","Chiroptera","Natalidae","Natalus","tumidirostris","Natalus tumidirostris",1,0,0,0,0,0,5.7,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"145","Soricomorpha","Soricidae","Crocidura","dolichura","Crocidura dolichura",1,0,0,0,0,0,5.7,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"146","Chiroptera","Phyllostomidae","Ectophylla","alba","Ectophylla alba",0,0,0,0,0,1,5.755,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"147","Chiroptera","Vespertilionidae","Pipistrellus","subflavus","Pipistrellus subflavus",1,0,0,0,0,0,5.764,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"148","Chiroptera","Hipposideridae","Hipposideros","ater","Hipposideros ater",2,0,0,0,0,0,5.8275,2,FALSE,FALSE,FALSE,TRUE,TRUE,2
"149","Chiroptera","Vespertilionidae","Pipistrellus","abramus","Pipistrellus abramus",1,0,0,0,0,0,5.87,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"150","Soricomorpha","Soricidae","Sorex","merriami","Sorex merriami",1,0,0,0,0,0,5.9,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"151","Chiroptera","Molossidae","Molossops","temminckii","Molossops temminckii",1,0,0,0,0,0,5.9,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"152","Soricomorpha","Soricidae","Sorex","vagrans","Sorex vagrans",1,0,0,0,0,0,5.9,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"153","Chiroptera","Vespertilionidae","Pipistrellus","kuhlii","Pipistrellus kuhlii",1,0,0,0,0,0,5.935,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
