"Binomial.1.2","Order.1.2","Family.1.2","current.range.x","present.natural.range.x","current.range.km2","present.natural.range.km2","current.range.y","present.natural.range.y","current.range","present.natural.range"
"Sciurus_igniventris","Rodentia","Sciuridae",369,369,3436263.97157128,3436263.97157128,369,369,369,369
"Sciurus_lis","Rodentia","Sciuridae",56,56,521492.63525201,521492.63525201,56,56,56,56
"Sciurus_nayaritensis","Rodentia","Sciuridae",48,48,446993.687358866,446993.687358866,48,48,48,48
"Sciurus_niger","Rodentia","Sciuridae",571,571,5317362.40587317,5317362.40587317,571,571,571,571
"Sciurus_oculatus","Rodentia","Sciuridae",23,23,214184.47519279,214184.47519279,23,23,23,23
"Sciurus_pucheranii","Rodentia","Sciuridae",55,55,512180.266765367,512180.266765367,55,55,55,55
"Sciurus_pyrrhinus","Rodentia","Sciuridae",9,9,83811.3163797873,83811.3163797873,9,9,9,9
"Sciurus_richmondi","Rodentia","Sciuridae",8,8,74498.9478931443,74498.9478931443,8,8,8,8
"Sciurus_sanborni","Rodentia","Sciuridae",11,11,102436.053353073,102436.053353073,11,11,11,11
"Sciurus_spadiceus","Rodentia","Sciuridae",413,413,3846008.18498357,3846008.18498357,413,413,413,413
"Sciurus_stramineus","Rodentia","Sciuridae",36,36,335245.265519149,335245.265519149,36,36,36,36
"Sciurus_variegatoides","Rodentia","Sciuridae",72,72,670490.531038299,670490.531038299,72,72,72,72
"Sciurus_vulgaris","Rodentia","Sciuridae",2620,2632,24398405.4350048,24510153.8568445,2620,2632,2620,2632
"Sciurus_yucatanensis","Rodentia","Sciuridae",38,38,353870.002492435,353870.002492435,38,38,38,38
"Scolomys_melanops","Rodentia","Cricetidae",24,24,223496.843679433,223496.843679433,24,24,24,24
"Scolomys_ucayalensis","Rodentia","Cricetidae",33,33,307308.16005922,307308.16005922,33,33,33,33
"Scotinomys_teguina","Rodentia","Cricetidae",40,40,372494.739465721,372494.739465721,40,40,40,40
"Scotinomys_xerampelinus","Rodentia","Cricetidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Scutisorex_somereni","Eulipotyphla","Soricidae",68,68,633241.057091726,633241.057091726,68,68,68,68
"Sekeetamys_calurus","Rodentia","Muridae",48,48,446993.687358866,446993.687358866,48,48,48,48
"Selevinia_betpakdalaensis","Rodentia","Gliridae",52,52,484243.161305438,484243.161305438,52,52,52,52
"Semnopithecus_ajax","Primates","Cercopithecidae",2,2,18624.7369732861,18624.7369732861,2,2,2,2
"Semnopithecus_dussumieri","Primates","Cercopithecidae",163,163,1517916.06332281,1517916.06332281,163,163,163,163
"Semnopithecus_entellus","Primates","Cercopithecidae",85,85,791551.321364658,791551.321364658,85,85,85,85
"Semnopithecus_hector","Primates","Cercopithecidae",29,29,270058.686112648,270058.686112648,29,29,29,29
"Semnopithecus_hypoleucos","Primates","Cercopithecidae",11,11,102436.053353073,102436.053353073,11,11,11,11
"Semnopithecus_priam","Primates","Cercopithecidae",51,51,474930.792818795,474930.792818795,51,51,51,51
"Semnopithecus_schistaceus","Primates","Cercopithecidae",67,67,623928.688605083,623928.688605083,67,67,67,67
"Setifer_setosus","Afrosoricida","Tenrecidae",91,91,847425.532284516,847425.532284516,91,91,91,91
"Setonix_brachyurus","Diprotodontia","Macropodidae",12,18,111748.421839716,167622.632759575,12,18,12,18
"Sicista_armenica","Rodentia","Dipodidae",1,1,9312.36848664304,9312.36848664304,1,1,1,1
"Sicista_betulina","Rodentia","Dipodidae",893,893,8315945.05857223,8315945.05857223,893,893,893,893
"Sicista_caucasica","Rodentia","Dipodidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Sicista_caudata","Rodentia","Dipodidae",56,56,521492.63525201,521492.63525201,56,56,56,56
"Sicista_concolor","Rodentia","Dipodidae",96,96,893987.374717731,893987.374717731,96,96,96,96
"Sicista_kazbegica","Rodentia","Dipodidae",4,4,37249.4739465721,37249.4739465721,4,4,4,4
"Sicista_kluchorica","Rodentia","Dipodidae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Sicista_napaea","Rodentia","Dipodidae",29,29,270058.686112648,270058.686112648,29,29,29,29
"Sicista_pseudonapaea","Rodentia","Dipodidae",10,10,93123.6848664304,93123.6848664304,10,10,10,10
"Sicista_severtzovi","Rodentia","Dipodidae",65,65,605303.951631797,605303.951631797,65,65,65,65
"Sicista_strandi","Rodentia","Dipodidae",110,110,1024360.53353073,1024360.53353073,110,110,110,110
"Sicista_subtilis","Rodentia","Dipodidae",444,444,4134691.60806951,4134691.60806951,444,444,444,444
"Sicista_tianshanica","Rodentia","Dipodidae",78,78,726364.741958157,726364.741958157,78,78,78,78
"Sigmodon_alleni","Rodentia","Cricetidae",34,34,316620.528545863,316620.528545863,34,34,34,34
"Sigmodon_alstoni","Rodentia","Cricetidae",172,172,1601727.3797026,1601727.3797026,172,172,172,172
"Sigmodon_arizonae","Rodentia","Cricetidae",66,66,614616.32011844,614616.32011844,66,66,66,66
"Sigmodon_fulviventer","Rodentia","Cricetidae",87,87,810176.058337944,810176.058337944,87,87,87,87
"Sigmodon_hirsutus","Rodentia","Cricetidae",148,148,1378230.53602317,1378230.53602317,148,148,148,148
"Sigmodon_hispidus","Rodentia","Cricetidae",358,358,3333827.91821821,3333827.91821821,358,358,358,358
"Sigmodon_inopinatus","Rodentia","Cricetidae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Sigmodon_leucotis","Rodentia","Cricetidae",59,59,549429.740711939,549429.740711939,59,59,59,59
"Sigmodon_mascotensis","Rodentia","Cricetidae",46,46,428368.95038558,428368.95038558,46,46,46,46
"Sigmodon_ochrognathus","Rodentia","Cricetidae",75,75,698427.636498228,698427.636498228,75,75,75,75
"Sigmodon_peruanus","Rodentia","Cricetidae",30,30,279371.054599291,279371.054599291,30,30,30,30
"Sigmodon_planifrons","Rodentia","Cricetidae",6,6,55874.2109198582,55874.2109198582,6,6,6,6
"Sigmodon_toltecus","Rodentia","Cricetidae",81,81,754301.847418086,754301.847418086,81,81,81,81
"Sigmodontomys_alfari","Rodentia","Cricetidae",98,98,912612.111691018,912612.111691018,98,98,98,98
"Sigmodontomys_aphrastus","Rodentia","Cricetidae",5,7,46561.8424332152,65186.5794065013,5,7,5,7
"Simias_concolor","Primates","Cercopithecidae",7,7,65186.5794065013,65186.5794065013,7,7,7,7
"Simosthenurus_maddocki","Diprotodontia","Macropodidae",0,148,0,1378230.53602317,0,148,0,148
"Simosthenurus_occidentalis","Diprotodontia","Macropodidae",0,117,0,1089547.11293724,0,117,0,117
"Simosthenurus_pales","Diprotodontia","Macropodidae",0,131,0,1219920.27175024,0,131,0,131
"Sinomegaceros_ordosianus","Cetartiodactyla","Cervidae",0,225,0,2095282.90949468,0,225,0,225
"Sinomegaceros_yabei","Cetartiodactyla","Cervidae",0,66,0,614616.32011844,0,66,0,66
"Sivacobus_sankaliai","Cetartiodactyla","Bovidae",0,294,0,2737836.33507305,0,294,0,294
"Smilodon_fatalis","Carnivora","Felidae",0,1278,0,11901206.9259298,0,1278,0,1278
"Smilodon_populator","Carnivora","Felidae",0,1922,0,17898372.2313279,0,1922,0,1922
