"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth"
"88","Chiroptera","Emballonuridae","Saccopteryx","leptura","Saccopteryx leptura",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.91,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"89","Soricomorpha","Soricidae","Cryptotis","parva","Cryptotis parva",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.983,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"90","Soricomorpha","Soricidae","Sorex","ornatus","Sorex ornatus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.985,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"91","Chiroptera","Vespertilionidae","Myotis","mystacinus","Myotis mystacinus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,TRUE,FALSE,FALSE,TRUE,FALSE,1
"92","Soricomorpha","Soricidae","Crocidura","horsfieldii","Crocidura horsfieldii",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"93","Soricomorpha","Soricidae","Suncus","varilla","Suncus varilla",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"94","Soricomorpha","Soricidae","Sorex","dispar","Sorex dispar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"95","Soricomorpha","Soricidae","Sorex","lyelli","Sorex lyelli",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"96","Soricomorpha","Soricidae","Suncus","malayanus","Suncus malayanus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"97","Chiroptera","Vespertilionidae","Myotis","ruber","Myotis ruber",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,1
"98","Chiroptera","Vespertilionidae","Vespadelus","douglasorum","Vespadelus douglasorum",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"99","Chiroptera","Emballonuridae","Centronycteris","maximiliani","Centronycteris maximiliani",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"100","Soricomorpha","Soricidae","Crocidura","attila","Crocidura attila",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"101","Soricomorpha","Soricidae","Cryptotis","mayensis","Cryptotis mayensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"102","Soricomorpha","Soricidae","Cryptotis","merriami","Cryptotis merriami",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"103","Soricomorpha","Soricidae","Cryptotis","hondurensis","Cryptotis hondurensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"104","Soricomorpha","Soricidae","Crocidura","yankariensis","Crocidura yankariensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"105","Rodentia","Nesomyidae","Delanymys","brooksi","Delanymys brooksi",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"106","Chiroptera","Rhinolophidae","Rhinolophus","marshalli","Rhinolophus marshalli",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.02,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"107","Chiroptera","Vespertilionidae","Nycticeinops","schlieffeni","Nycticeinops schlieffeni",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.043,2,TRUE,FALSE,FALSE,TRUE,FALSE,1
"108","Soricomorpha","Soricidae","Sorex","gracillimus","Sorex gracillimus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.06,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"109","Chiroptera","Vespertilionidae","Chalinolobus","picatus","Chalinolobus picatus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.1,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"110","Chiroptera","Vespertilionidae","Vespadelus","pumilus","Vespadelus pumilus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.114,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"111","Chiroptera","Vespertilionidae","Myotis","leibii","Myotis leibii",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.133,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"112","Chiroptera","Vespertilionidae","Vespadelus","regulus","Vespadelus regulus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.133,1,FALSE,FALSE,FALSE,FALSE,TRUE,1
"113","Chiroptera","Rhinolophidae","Rhinolophus","pusillus","Rhinolophus pusillus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.15,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"114","Soricomorpha","Soricidae","Crocidura","ludia","Crocidura ludia",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.15,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"115","Soricomorpha","Soricidae","Sylvisorex","konganensis","Sylvisorex konganensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.15,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"116","Chiroptera","Vespertilionidae","Pipistrellus","javanicus","Pipistrellus javanicus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.171,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"117","Soricomorpha","Soricidae","Sorex","monticolus","Sorex monticolus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.25,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"118","Soricomorpha","Soricidae","Notiosorex","evotis","Notiosorex evotis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.28,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"119","Chiroptera","Vespertilionidae","Myotis","brandtii","Myotis brandtii",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.3,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"120","Chiroptera","Vespertilionidae","Neoromicia","tenuipinnis","Neoromicia tenuipinnis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.3,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"121","Chiroptera","Emballonuridae","Cyttarops","alecto","Cyttarops alecto",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.3,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"122","Chiroptera","Vespertilionidae","Myotis","albescens","Myotis albescens",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.3,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"123","Chiroptera","Vespertilionidae","Myotis","keaysi","Myotis keaysi",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.3,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"124","Chiroptera","Emballonuridae","Emballonura","monticola","Emballonura monticola",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.367,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"125","Soricomorpha","Soricidae","Sorex","caecutiens","Sorex caecutiens",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.375,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"126","Chiroptera","Vespertilionidae","Myotis","yumanensis","Myotis yumanensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.387,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"127","Soricomorpha","Soricidae","Cryptotis","nigrescens","Cryptotis nigrescens",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.4,1,FALSE,TRUE,FALSE,FALSE,FALSE,1
"128","Chiroptera","Emballonuridae","Peropteryx","macrotis","Peropteryx macrotis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.421,2,FALSE,TRUE,TRUE,FALSE,FALSE,1
"129","Chiroptera","Vespertilionidae","Murina","tubinaris","Murina tubinaris",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.45,1,FALSE,FALSE,FALSE,TRUE,FALSE,1
"130","Chiroptera","Vespertilionidae","Glauconycteris","humeralis","Glauconycteris humeralis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.49,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
"131","Soricomorpha","Soricidae","Crocidura","whitakeri","Crocidura whitakeri",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,1,TRUE,FALSE,FALSE,FALSE,FALSE,1
