"","order","family","genus","species","binomial","diet.invertivore.tot","diet.carnivore.tot","diet.browser.tot","diet.grazer.tot","diet.piscivore.tot","diet.frugivore.tot","avg.mass","n.cont","continent.Africa","continent.North.America","continent.South.America","continent.Eurasia","continent.Australia","diet.breadth","family.origin","Max_longevity_d","Rspan_d","AFR_d","Calculated_GL_d","GenerationLength_d","accepted_name","lw.range","hi.range","foss.age","age.median","current.range","present.natural.range","current.range.km2","present.natural.range.km2","home.range.km2","indiv.home.range.km2","dispersal.age.d"
"1181","Didelphimorphia","Didelphidae","Thylamys","pusillus","Thylamys pusillus",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,41,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"South.America","no information","no information",NA,"no information",642.840025,"Thylamys pusillus",0,0.0117,0.00585,1.30360997,NA,NA,NA,NA,NA,NA,NA
"1182","Rodentia","Cricetidae","Microtus","miurus","Microtus miurus",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,41,"1",FALSE,TRUE,FALSE,FALSE,FALSE,1,"Eurasia","no information","no information",NA,"no information",373.6238021,"Microtus miurus",0.3,1.8,1.05,0.31535647105,NA,NA,NA,NA,0.000871,0.000801,NA
"1183","Rodentia","Heteromyidae","Dipodomys","phillipsii","Dipodomys phillipsii",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,41,"1",FALSE,TRUE,FALSE,FALSE,FALSE,1,"North.America","no information","no information",NA,"no information",824.7267,NA,NA,NA,NA,0.59881763195,NA,NA,NA,NA,NA,NA,NA
"1184","Rodentia","Muridae","Myomyscus","verreauxii","Myomyscus verreauxii",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,41,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"","no information","no information",NA,"no information",624.3996409,NA,NA,NA,NA,3.8926347675,NA,NA,NA,NA,NA,NA,NA
"1185","Afrosoricida","Chrysochloridae","Chlorotalpa","duthieae","Chlorotalpa duthieae",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,"1",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information",NA,"no information",1036.557583,NA,NA,NA,NA,0.89304540185,NA,NA,NA,NA,NA,NA,NA
"1186","Afrosoricida","Chrysochloridae","Chlorotalpa","sclateri","Chlorotalpa sclateri",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,"1",TRUE,FALSE,FALSE,FALSE,FALSE,1,"Africa","no information","no information",NA,"no information",1036.557583,NA,NA,NA,NA,0.89304540185,NA,NA,NA,NA,NA,NA,NA
"1187","Chiroptera","Molossidae","Cynomops","abrasus","Cynomops abrasus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.033,"1",FALSE,FALSE,TRUE,FALSE,FALSE,1,"","no information","no information",NA,"no information",1427.913317,NA,NA,NA,NA,4.074885187,NA,NA,NA,NA,NA,NA,NA
"1188","Rodentia","Muridae","Rhabdomys","pumilio","Rhabdomys pumilio",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,41.117,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"","1350.5","1259.88",90.62,"455.9852",455.9852,NA,NA,NA,NA,3.4609506355,NA,NA,NA,NA,NA,NA,NA
"1189","Rodentia","Muridae","Grammomys","dolichurus","Grammomys dolichurus",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,41.175,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"","1606","1546.945",107.045,"555.65905",555.65905,NA,NA,NA,NA,1.0327098455,NA,NA,NA,NA,NA,NA,NA
"1190","Rodentia","Muridae","Grammomys","ibeanus","Grammomys ibeanus",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,41.2,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"","no information","no information",NA,"no information",555.65905,NA,NA,NA,NA,1.0202550705,NA,NA,NA,NA,NA,NA,NA
"1191","Chiroptera","Phyllostomidae","Platyrrhinus","vittatus","Platyrrhinus vittatus",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,41.4,"2",FALSE,TRUE,TRUE,FALSE,FALSE,2,"South.America","no information","no information",NA,"no information",2064.27635,NA,NA,NA,NA,0.89387483585,NA,NA,NA,NA,NA,NA,NA
"1192","Diprotodontia","Burramyidae","Burramys","parvus","Burramys parvus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.5,"1",FALSE,FALSE,FALSE,FALSE,TRUE,1,"Australia","4380","4015",365,"1529.35",1529.35,"Burramys parvus",15.97,28.4,22.185,34.8,NA,NA,NA,NA,NA,NA,NA
"1193","Rodentia","Cricetidae","Rhipidomys","macconnelli","Rhipidomys macconnelli",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,41.6,"1",FALSE,FALSE,TRUE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,2.3960899505,NA,NA,NA,NA,NA,NA,NA
"1194","Rodentia","Cricetidae","Oecomys","auyantepui","Oecomys auyantepui",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,41.66666667,"1",FALSE,FALSE,TRUE,FALSE,FALSE,1,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,1.1953551095,NA,NA,NA,NA,NA,NA,NA
"1195","Rodentia","Muridae","Lemniscomys","mittendorfi","Lemniscomys mittendorfi",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,41.85,"1",TRUE,FALSE,FALSE,FALSE,FALSE,2,"","no information","no information",NA,"no information",476.46485,NA,NA,NA,NA,0.73871101695,NA,NA,NA,NA,NA,NA,NA
"1196","Chiroptera","Vespertilionidae","Myotis","chinensis","Myotis chinensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42,"1",FALSE,FALSE,FALSE,TRUE,FALSE,1,"North.America","no information","no information",NA,"no information",2504.38545,NA,NA,NA,NA,3.7151899995,NA,NA,NA,NA,NA,NA,NA
"1197","Rodentia","Heteromyidae","Liomys","salvini","Liomys salvini",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,42,"1",FALSE,TRUE,FALSE,FALSE,FALSE,2,"North.America","no information","no information",NA,"no information",873.5194667,NA,NA,NA,NA,2.265555208,NA,NA,NA,NA,0.00147,0.00172,NA
"1198","Rodentia","Cricetidae","Oxymycterus","paramensis","Oxymycterus paramensis",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42,"1",FALSE,FALSE,TRUE,FALSE,FALSE,1,"Eurasia","no information","no information",NA,"no information",589.3882991,NA,NA,NA,NA,1.4070999675,NA,NA,NA,NA,NA,NA,NA
"1199","Rodentia","Cricetidae","Microtus","guatemalensis","Microtus guatemalensis",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,42,"1",FALSE,TRUE,FALSE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",373.6238021,NA,NA,NA,NA,0.24810647145,NA,NA,NA,NA,NA,NA,NA
"1200","Rodentia","Cricetidae","Microtus","umbrosus","Microtus umbrosus",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,42,"1",FALSE,TRUE,FALSE,FALSE,FALSE,2,"Eurasia","no information","no information",NA,"no information",373.6238021,NA,NA,NA,NA,0.64239892635,NA,NA,NA,NA,NA,NA,NA
"1201","Rodentia","Heteromyidae","Dipodomys","merriami","Dipodomys merriami",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,42,"1",FALSE,TRUE,FALSE,FALSE,FALSE,1,"North.America","2135.25","2038.25",97,"688.0925",688.0925,"Dipodomys merriami",0.3,1.8,1.05,1.5398299645,NA,NA,NA,NA,0.00175,0.0021,NA
